max_range_m,reception_prob,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
500,0.2,300,34,0.1133333333,1,92.60979343,0
500,0.4,300,8,0.02666666667,1,96.87379397,0
500,0.6,300,4,0.01333333333,1,97.12151869,0
500,0.8,300,2,0.006666666667,1,98.31105876,0
500,1,300,1,0.003333333333,1,95.63464292,0
3000,0.2,300,7,0.02333333333,1,127.7583719,0
3000,0.4,300,5,0.01666666667,1,118.6026555,0
3000,0.6,300,1,0.003333333333,1,114.4554197,0
3000,0.8,300,1,0.003333333333,1,115.9401385,0
3000,1,300,2,0.006666666667,1,117.8964942,0
