aircraft,vel_ci95,pos_ci95,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
multirotor,1,3,300,0,0,1,105.8695131,0
multirotor,1,10,300,0,0,1,107.0681873,0
multirotor,1,30,300,0,0,1,118.3162414,0
multirotor,1,92.6,300,1,0.003333333333,1,177.7030971,0
multirotor,3,3,300,0,0,1,108.8877642,0
multirotor,3,10,300,1,0.003333333333,1,106.283995,0
multirotor,3,30,300,1,0.003333333333,1,115.9401385,0
multirotor,3,92.6,300,13,0.04333333333,1,137.4908074,0
fixedwing,1,3,300,0,0,1,102.9016982,0
fixedwing,1,10,300,0,0,1,109.4099262,0
fixedwing,1,30,300,0,0,1,118.1716679,0
fixedwing,1,92.6,300,1,0.003333333333,1,176.3038134,0
fixedwing,3,3,300,0,0,1,104.4299981,0
fixedwing,3,10,300,0,0,1,111.6104862,0
fixedwing,3,30,300,0,0,1,114.5673468,0
fixedwing,3,92.6,300,12,0.04,1,146.5480077,0
