dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled,ipr,median_cpa_m
2,3,1,pastcpa,200,34,0.17,1,51.31940442,2,0.83,51.31940442
2,3,1,ftr,200,9,0.045,1,51.7810383,2,0.955,51.7810383
2,3,1,probabilistic_ftr,200,0,0.0,1,68.86826697,0,1.0,68.86826697
2,3,3,pastcpa,200,163,0.815,1,47.71556361,2,0.18500000000000005,47.71556361
2,3,3,ftr,200,77,0.385,1,50.49859634,2,0.615,50.49859634
2,3,3,probabilistic_ftr,200,0,0.0,1,70.59015497,0,1.0,70.59015497
2,10,1,pastcpa,200,5,0.025,1,53.50616753,2,0.975,53.50616753
2,10,1,ftr,200,0,0.0,1,56.00058189,2,1.0,56.00058189
2,10,1,probabilistic_ftr,200,0,0.0,1,69.56011269,0,1.0,69.56011269
2,10,3,pastcpa,200,128,0.64,1,48.92384246,2,0.36,48.92384246
2,10,3,ftr,200,29,0.145,1,53.8710404,2,0.855,53.8710404
2,10,3,probabilistic_ftr,200,0,0.0,1,71.7059883,0,1.0,71.7059883
30,3,1,pastcpa,200,0,0.0,1,93.41425369,0,1.0,93.41425369
30,3,1,ftr,200,22,0.11,1,51.44173185,0,0.89,51.44173185
30,3,1,probabilistic_ftr,200,0,0.0,1,63.43656496,0,1.0,63.43656496
30,3,3,pastcpa,200,0,0.0,1,89.78375382,0,1.0,89.78375382
30,3,3,ftr,200,61,0.305,1,51.16549148,0,0.6950000000000001,51.16549148
30,3,3,probabilistic_ftr,200,1,0.005,1,69.55965371,0,0.995,69.55965371
30,10,1,pastcpa,200,0,0.0,1,92.22135884,0,1.0,92.22135884
30,10,1,ftr,200,19,0.095,1,53.96832385,1,0.905,53.96832385
30,10,1,probabilistic_ftr,200,0,0.0,1,66.06995544,0,1.0,66.06995544
30,10,3,pastcpa,200,0,0.0,1,87.72306091,0,1.0,87.72306091
30,10,3,ftr,200,51,0.255,1,52.40222642,0,0.745,52.40222642
30,10,3,probabilistic_ftr,200,1,0.005,1,70.94515458,0,0.995,70.94515458
60,3,1,pastcpa,200,0,0.0,1,104.3904809,0,1.0,104.3904809
60,3,1,ftr,200,13,0.065,1,51.75108309,0,0.935,51.75108309
60,3,1,probabilistic_ftr,200,0,0.0,1,65.6363549,0,1.0,65.6363549
60,3,3,pastcpa,200,0,0.0,1,95.54886902,0,1.0,95.54886902
60,3,3,ftr,200,47,0.235,1,51.51545223,0,0.765,51.51545223
60,3,3,probabilistic_ftr,200,0,0.0,1,67.98385774,0,1.0,67.98385774
60,10,1,pastcpa,200,0,0.0,1,106.7027214,0,1.0,106.7027214
60,10,1,ftr,200,6,0.03,1,54.10303866,0,0.97,54.10303866
60,10,1,probabilistic_ftr,200,0,0.0,1,69.17837371,0,1.0,69.17837371
60,10,3,pastcpa,200,0,0.0,1,95.55127536,0,1.0,95.55127536
60,10,3,ftr,200,43,0.215,1,53.06660252,0,0.785,53.06660252
60,10,3,probabilistic_ftr,200,1,0.005,1,72.01156024,0,0.995,72.01156024
90,3,1,pastcpa,200,0,0.0,1,103.9100617,0,1.0,103.9100617
90,3,1,ftr,200,14,0.07,1,51.77430873,0,0.9299999999999999,51.77430873
90,3,1,probabilistic_ftr,200,0,0.0,1,65.50177375,0,1.0,65.50177375
90,3,3,pastcpa,200,0,0.0,1,102.7017014,0,1.0,102.7017014
90,3,3,ftr,200,34,0.17,1,51.77183974,0,0.83,51.77183974
90,3,3,probabilistic_ftr,200,1,0.005,1,71.087924,0,0.995,71.087924
90,10,1,pastcpa,200,0,0.0,1,106.9614804,0,1.0,106.9614804
90,10,1,ftr,200,9,0.045,1,54.21838801,0,0.955,54.21838801
90,10,1,probabilistic_ftr,200,0,0.0,1,67.87754733,0,1.0,67.87754733
90,10,3,pastcpa,200,0,0.0,1,100.0360162,0,1.0,100.0360162
90,10,3,ftr,200,32,0.16,1,53.50506393,0,0.84,53.50506393
90,10,3,probabilistic_ftr,200,0,0.0,1,72.13624592,0,1.0,72.13624592
120,3,1,pastcpa,200,0,0.0,1,103.6145063,0,1.0,103.6145063
120,3,1,ftr,200,30,0.15,1,51.56825289,0,0.85,51.56825289
120,3,1,probabilistic_ftr,200,0,0.0,1,65.21877845,0,1.0,65.21877845
120,3,3,pastcpa,200,0,0.0,1,96.60427025,0,1.0,96.60427025
120,3,3,ftr,200,65,0.325,1,51.52623753,0,0.675,51.52623753
120,3,3,probabilistic_ftr,200,0,0.0,1,68.22513985,0,1.0,68.22513985
120,10,1,pastcpa,200,0,0.0,1,103.3126791,0,1.0,103.3126791
120,10,1,ftr,200,10,0.05,1,54.27042625,0,0.95,54.27042625
120,10,1,probabilistic_ftr,200,0,0.0,1,67.10395374,0,1.0,67.10395374
120,10,3,pastcpa,200,0,0.0,1,106.2800523,0,1.0,106.2800523
120,10,3,ftr,200,51,0.255,1,52.67729667,0,0.745,52.67729667
120,10,3,probabilistic_ftr,200,1,0.005,1,72.05232584,0,0.995,72.05232584
150,3,1,pastcpa,200,0,0.0,1,99.10995302,0,1.0,99.10995302
150,3,1,ftr,200,24,0.12,1,51.54738845,0,0.88,51.54738845
150,3,1,probabilistic_ftr,200,0,0.0,1,65.45152372,0,1.0,65.45152372
150,3,3,pastcpa,200,0,0.0,1,96.67843735,0,1.0,96.67843735
