noise_model,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled,ipr,median_cpa_m
gaussian,pastcpa,200,0,0.0,1,97.55727861,1,1.0,97.55727861
gaussian,ftr,200,13,0.065,1,54.27188002,1,0.935,54.27188002
gaussian,probabilistic_ftr,200,0,0.0,1,67.00399325,0,1.0,67.00399325
mixture,pastcpa,200,0,0.0,1,103.7459794,0,1.0,103.7459794
mixture,ftr,200,13,0.065,1,53.30794333,2,0.935,53.30794333
mixture,probabilistic_ftr,200,0,0.0,1,67.47834936,0,1.0,67.47834936
anisotropic,pastcpa,200,1,0.005,1,98.77773408,2,0.995,98.77773408
anisotropic,ftr,200,15,0.075,1,53.22354793,1,0.925,53.22354793
anisotropic,probabilistic_ftr,200,0,0.0,1,68.99464147,0,1.0,68.99464147
latency,pastcpa,200,1,0.005,1,95.4181602,0,0.995,95.4181602
latency,ftr,200,11,0.055,1,54.45758881,1,0.945,54.45758881
latency,probabilistic_ftr,200,0,0.0,1,67.57531394,0,1.0,67.57531394
anisotropic_latency,pastcpa,200,0,0.0,1,98.33068912,1,1.0,98.33068912
anisotropic_latency,ftr,200,20,0.1,1,53.55316777,1,0.9,53.55316777
anisotropic_latency,probabilistic_ftr,200,0,0.0,1,68.04167113,0,1.0,68.04167113
anisotropic_mixture,pastcpa,200,0,0.0,1,102.4238262,1,1.0,102.4238262
anisotropic_mixture,ftr,200,14,0.07,1,53.09767726,2,0.9299999999999999,53.09767726
anisotropic_mixture,probabilistic_ftr,200,0,0.0,1,67.34003849,0,1.0,67.34003849
