dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
2,3,1,pastcpa,10000,1519,0.1519,1,51.45628383,100
2,3,1,ftr,10000,680,0.068,1,51.71706042,100
2,3,1,probabilistic_ftr,10000,0,0,1,67.17871202,0
2,3,3,pastcpa,10000,8595,0.8595,1,47.89751878,100
2,3,3,ftr,10000,3937,0.3937,1,50.56225041,100
2,3,3,probabilistic_ftr,10000,39,0.0039,1,69.59929074,2
2,10,1,pastcpa,10000,293,0.0293,1,53.33085271,100
2,10,1,ftr,10000,22,0.0022,1,55.84919124,100
2,10,1,probabilistic_ftr,10000,0,0,1,70.35645044,0
2,10,3,pastcpa,10000,6625,0.6625,1,48.83732332,100
2,10,3,ftr,10000,1464,0.1464,1,53.60009096,100
2,10,3,probabilistic_ftr,10000,42,0.0042,1,71.09085831,3
4,3,1,pastcpa,10000,539,0.0539,1,54.85610662,5
4,3,1,ftr,10000,1260,0.126,1,51.37325352,100
4,3,1,probabilistic_ftr,10000,0,0,1,65.81533483,0
4,3,3,pastcpa,10000,6177,0.6177,1,49.23397742,100
4,3,3,ftr,10000,3993,0.3993,1,50.53521385,100
4,3,3,probabilistic_ftr,10000,30,0.003,1,71.93703066,1
4,10,1,pastcpa,10000,143,0.0143,1,57.10045684,45
4,10,1,ftr,10000,139,0.0139,1,54.82383537,100
4,10,1,probabilistic_ftr,10000,0,0,1,69.13440805,0
4,10,3,pastcpa,10000,4546,0.4546,1,50.36017879,100
4,10,3,ftr,10000,1582,0.1582,1,53.32873026,100
4,10,3,probabilistic_ftr,10000,34,0.0034,1,74.03292995,1
6,3,1,pastcpa,10000,218,0.0218,1,59.38003261,0
6,3,1,ftr,10000,1646,0.1646,1,51.23594713,100
6,3,1,probabilistic_ftr,10000,0,0,1,63.83475083,0
6,3,3,pastcpa,10000,3269,0.3269,1,51.68026206,100
6,3,3,ftr,10000,4051,0.4051,1,50.52350037,100
6,3,3,probabilistic_ftr,10000,24,0.0024,1,72.08955832,0
6,10,1,pastcpa,10000,72,0.0072,1,62.13787591,2
6,10,1,ftr,10000,321,0.0321,1,54.25462014,100
6,10,1,probabilistic_ftr,10000,1,0.0001,1,67.37038302,0
6,10,3,pastcpa,10000,2417,0.2417,1,52.94760582,100
6,10,3,ftr,10000,1722,0.1722,1,53.13711128,100
6,10,3,probabilistic_ftr,10000,26,0.0026,1,73.76655287,2
8,3,1,pastcpa,10000,92,0.0092,1,65.32028677,0
8,3,1,ftr,10000,1771,0.1771,1,51.18585661,100
8,3,1,probabilistic_ftr,10000,0,0,1,63.17058139,0
8,3,3,pastcpa,10000,1761,0.1761,1,54.56752289,37
8,3,3,ftr,10000,4114,0.4114,1,50.49355248,100
8,3,3,probabilistic_ftr,10000,30,0.003,1,70.56124816,3
8,10,1,pastcpa,10000,50,0.005,1,67.55628,0
8,10,1,ftr,10000,499,0.0499,1,54.04511707,100
8,10,1,probabilistic_ftr,10000,0,0,1,66.93517096,0
8,10,3,pastcpa,10000,1405,0.1405,1,56.05357124,39
8,10,3,ftr,10000,1847,0.1847,1,53.00599509,100
8,10,3,probabilistic_ftr,10000,38,0.0038,1,72.7559267,1
10,3,1,pastcpa,10000,28,0.0028,1,72.41479242,0
10,3,1,ftr,10000,1822,0.1822,1,51.20280536,100
10,3,1,probabilistic_ftr,10000,0,0,1,63.25308523,0
10,3,3,pastcpa,10000,1123,0.1123,1,57.66628281,0
10,3,3,ftr,10000,4148,0.4148,1,50.45212505,100
10,3,3,probabilistic_ftr,10000,29,0.0029,1,69.41909226,1
10,10,1,pastcpa,10000,27,0.0027,1,73.72165513,0
10,10,1,ftr,10000,706,0.0706,1,53.83308678,100
10,10,1,probabilistic_ftr,10000,0,0,1,67.13424426,0
10,10,3,pastcpa,10000,900,0.09,1,59.24755356,0
10,10,3,ftr,10000,1999,0.1999,1,52.80972963,100
10,10,3,probabilistic_ftr,10000,38,0.0038,1,71.88625815,0
12,3,1,pastcpa,10000,12,0.0012,1,78.28477362,0
12,3,1,ftr,10000,1823,0.1823,1,51.18063971,99
12,3,1,probabilistic_ftr,10000,0,0,1,63.39370824,0
12,3,3,pastcpa,10000,736,0.0736,1,61.19588367,0
12,3,3,ftr,10000,4185,0.4185,1,50.4720934,97
12,3,3,probabilistic_ftr,10000,38,0.0038,1,68.0444976,1
12,10,1,pastcpa,10000,12,0.0012,1,79.56689818,0
12,10,1,ftr,10000,762,0.0762,1,53.7735078,100
12,10,1,probabilistic_ftr,10000,0,0,1,67.15285376,0
12,10,3,pastcpa,10000,552,0.0552,1,63.28983592,0
12,10,3,ftr,10000,2252,0.2252,1,52.68998722,100
12,10,3,probabilistic_ftr,10000,34,0.0034,1,70.91344118,4
14,3,1,pastcpa,10000,5,0.0005,1,82.28253674,0
14,3,1,ftr,10000,1788,0.1788,1,51.18755182,96
14,3,1,probabilistic_ftr,10000,1,0.0001,1,63.57578089,0
14,3,3,pastcpa,10000,473,0.0473,1,65.65852861,0
14,3,3,ftr,10000,4060,0.406,1,50.53580651,88
14,3,3,probabilistic_ftr,10000,32,0.0032,1,67.42216264,1
14,10,1,pastcpa,10000,7,0.0007,1,83.97704423,0
14,10,1,ftr,10000,800,0.08,1,53.72558205,100
14,10,1,probabilistic_ftr,10000,1,0.0001,1,67.31665004,0
14,10,3,pastcpa,10000,410,0.041,1,67.20056141,0
14,10,3,ftr,10000,2330,0.233,1,52.56367791,99
14,10,3,probabilistic_ftr,10000,38,0.0038,1,70.30927742,2
16,3,1,pastcpa,10000,4,0.0004,1,84.93476227,0
16,3,1,ftr,10000,1662,0.1662,1,51.21364284,82
16,3,1,probabilistic_ftr,10000,0,0,1,63.68561967,0
16,3,3,pastcpa,10000,329,0.0329,1,69.68553198,0
16,3,3,ftr,10000,3979,0.3979,1,50.58721871,87
16,3,3,probabilistic_ftr,10000,41,0.0041,1,67.03341395,3
16,10,1,pastcpa,10000,3,0.0003,1,86.23273445,0
16,10,1,ftr,10000,811,0.0811,1,53.65605035,99
16,10,1,probabilistic_ftr,10000,0,0,1,67.48684638,0
16,10,3,pastcpa,10000,246,0.0246,1,71.05601206,0
16,10,3,ftr,10000,2406,0.2406,1,52.59863849,92
16,10,3,probabilistic_ftr,10000,34,0.0034,1,70.09938834,1
18,3,1,pastcpa,10000,2,0.0002,1,86.74684865,0
18,3,1,ftr,10000,1559,0.1559,1,51.26609582,60
18,3,1,probabilistic_ftr,10000,1,0.0001,1,63.89668795,0
18,3,3,pastcpa,10000,243,0.0243,1,73.55540259,0
18,3,3,ftr,10000,3817,0.3817,1,50.67556707,76
18,3,3,probabilistic_ftr,10000,35,0.0035,1,66.79383637,0
18,10,1,pastcpa,10000,2,0.0002,1,88.13073337,0
18,10,1,ftr,10000,865,0.0865,1,53.64710057,92
18,10,1,probabilistic_ftr,10000,0,0,1,67.68823813,0
18,10,3,pastcpa,10000,195,0.0195,1,75.24002951,0
18,10,3,ftr,10000,2469,0.2469,1,52.63126179,93
18,10,3,probabilistic_ftr,10000,28,0.0028,1,69.89243142,0
20,3,1,pastcpa,10000,1,0.0001,1,89.05056114,0
20,3,1,ftr,10000,1482,0.1482,1,51.30863454,43
20,3,1,probabilistic_ftr,10000,1,0.0001,1,64.10842019,0
20,3,3,pastcpa,10000,170,0.017,1,77.76385259,0
20,3,3,ftr,10000,3747,0.3747,1,50.70701543,59
20,3,3,probabilistic_ftr,10000,31,0.0031,1,67.0456324,0
20,10,1,pastcpa,10000,3,0.0003,1,90.11935826,0
20,10,1,ftr,10000,823,0.0823,1,53.64445882,90
20,10,1,probabilistic_ftr,10000,3,0.0003,1,67.43784658,0
20,10,3,pastcpa,10000,119,0.0119,1,78.74771126,0
20,10,3,ftr,10000,2445,0.2445,1,52.59003391,79
20,10,3,probabilistic_ftr,10000,30,0.003,1,69.79944634,0
22,3,1,pastcpa,10000,2,0.0002,1,90.1015218,0
22,3,1,ftr,10000,1397,0.1397,1,51.35370699,17
22,3,1,probabilistic_ftr,10000,2,0.0002,1,64.05054494,0
22,3,3,pastcpa,10000,125,0.0125,1,80.30981206,0
22,3,3,ftr,10000,3648,0.3648,1,50.79209123,41
22,3,3,probabilistic_ftr,10000,33,0.0033,1,67.07043002,0
22,10,1,pastcpa,10000,0,0,1,91.76039923,0
22,10,1,ftr,10000,781,0.0781,1,53.67898543,80
22,10,1,probabilistic_ftr,10000,0,0,1,67.49857478,0
22,10,3,pastcpa,10000,82,0.0082,1,81.38953842,0
22,10,3,ftr,10000,2380,0.238,1,52.60351621,75
22,10,3,probabilistic_ftr,10000,26,0.0026,1,70.15539585,0
24,3,1,pastcpa,10000,3,0.0003,1,92.68124155,0
24,3,1,ftr,10000,1313,0.1313,1,51.40879244,14
24,3,1,probabilistic_ftr,10000,0,0,1,64.21491573,0
24,3,3,pastcpa,10000,90,0.009,1,83.07784045,0
24,3,3,ftr,10000,3535,0.3535,1,50.8196586,37
24,3,3,probabilistic_ftr,10000,27,0.0027,1,67.22497818,0
24,10,1,pastcpa,10000,1,0.0001,1,92.64719812,0
24,10,1,ftr,10000,778,0.0778,1,53.69563795,57
24,10,1,probabilistic_ftr,10000,0,0,1,67.65274593,0
24,10,3,pastcpa,10000,79,0.0079,1,83.45316535,0
24,10,3,ftr,10000,2470,0.247,1,52.61636995,60
24,10,3,probabilistic_ftr,10000,25,0.0025,1,70.58870631,1
26,3,1,pastcpa,10000,2,0.0002,1,92.77425196,0
26,3,1,ftr,10000,1131,0.1131,1,51.45426694,7
26,3,1,probabilistic_ftr,10000,0,0,1,64.1183687,0
26,3,3,pastcpa,10000,81,0.0081,1,85.07677701,0
26,3,3,ftr,10000,3460,0.346,1,50.86717755,23
26,3,3,probabilistic_ftr,10000,32,0.0032,1,67.74114105,0
26,10,1,pastcpa,10000,0,0,1,94.17526764,0
26,10,1,ftr,10000,786,0.0786,1,53.73124081,35
26,10,1,probabilistic_ftr,10000,1,0.0001,1,67.66205775,0
26,10,3,pastcpa,10000,56,0.0056,1,86.02849579,0
26,10,3,ftr,10000,2447,0.2447,1,52.61686226,42
26,10,3,probabilistic_ftr,10000,26,0.0026,1,70.64719492,0
28,3,1,pastcpa,10000,0,0,1,93.63966551,0
28,3,1,ftr,10000,1134,0.1134,1,51.48494161,0
28,3,1,probabilistic_ftr,10000,0,0,1,64.44942998,0
28,3,3,pastcpa,10000,48,0.0048,1,87.07110842,0
28,3,3,ftr,10000,3288,0.3288,1,50.92904125,25
28,3,3,probabilistic_ftr,10000,27,0.0027,1,68.2021264,0
28,10,1,pastcpa,10000,0,0,1,95.05471303,0
28,10,1,ftr,10000,749,0.0749,1,53.7185887,18
28,10,1,probabilistic_ftr,10000,1,0.0001,1,67.49154199,0
28,10,3,pastcpa,10000,52,0.0052,1,87.80675731,0
28,10,3,ftr,10000,2453,0.2453,1,52.57337754,45
28,10,3,probabilistic_ftr,10000,21,0.0021,1,70.78278141,0
30,3,1,pastcpa,10000,2,0.0002,1,94.87891352,0
30,3,1,ftr,10000,1034,0.1034,1,51.55077625,0
30,3,1,probabilistic_ftr,10000,1,0.0001,1,64.31770848,0
30,3,3,pastcpa,10000,39,0.0039,1,88.26077706,0
30,3,3,ftr,10000,3216,0.3216,1,50.94918888,10
30,3,3,probabilistic_ftr,10000,25,0.0025,1,68.2998436,0
30,10,1,pastcpa,10000,1,0.0001,1,96.53536722,0
30,10,1,ftr,10000,789,0.0789,1,53.81716958,7
30,10,1,probabilistic_ftr,10000,0,0,1,67.66627861,0
30,10,3,pastcpa,10000,36,0.0036,1,89.47965264,0
30,10,3,ftr,10000,2398,0.2398,1,52.70318011,21
30,10,3,probabilistic_ftr,10000,18,0.0018,1,71.23545664,0
32,3,1,pastcpa,10000,1,0.0001,1,95.78540787,0
32,3,1,ftr,10000,940,0.094,1,51.56506877,0
32,3,1,probabilistic_ftr,10000,0,0,1,64.32852001,0
32,3,3,pastcpa,10000,38,0.0038,1,89.16411434,0
32,3,3,ftr,10000,3196,0.3196,1,51.01452964,5
32,3,3,probabilistic_ftr,10000,28,0.0028,1,68.51346444,0
32,10,1,pastcpa,10000,0,0,1,97.0569345,0
32,10,1,ftr,10000,728,0.0728,1,53.78243258,5
32,10,1,probabilistic_ftr,10000,1,0.0001,1,67.67163699,0
32,10,3,pastcpa,10000,29,0.0029,1,90.23342449,0
32,10,3,ftr,10000,2419,0.2419,1,52.71539701,27
32,10,3,probabilistic_ftr,10000,21,0.0021,1,71.49172316,0
34,3,1,pastcpa,10000,0,0,1,96.56280887,0
34,3,1,ftr,10000,899,0.0899,1,51.65536945,0
34,3,1,probabilistic_ftr,10000,0,0,1,64.4607615,0
34,3,3,pastcpa,10000,28,0.0028,1,89.98882786,0
34,3,3,ftr,10000,3122,0.3122,1,51.00430947,5
34,3,3,probabilistic_ftr,10000,26,0.0026,1,68.72647591,0
34,10,1,pastcpa,10000,0,0,1,98.08027389,0
34,10,1,ftr,10000,735,0.0735,1,53.8084587,3
34,10,1,probabilistic_ftr,10000,1,0.0001,1,67.64475516,0
34,10,3,pastcpa,10000,37,0.0037,1,90.63428336,0
34,10,3,ftr,10000,2300,0.23,1,52.73595027,11
34,10,3,probabilistic_ftr,10000,24,0.0024,1,71.71640062,0
36,3,1,pastcpa,10000,1,0.0001,1,97.43234626,0
36,3,1,ftr,10000,842,0.0842,1,51.63947494,0
36,3,1,probabilistic_ftr,10000,1,0.0001,1,64.5889827,0
