noise_model,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
gaussian,pastcpa,100000,86,0.00086,1,98.52026572,548
gaussian,ftr,100000,5614,0.05614,1,54.16149992,826
gaussian,probabilistic_ftr,100000,6,6e-05,1,68.06010285,1
mixture,pastcpa,100000,122,0.00122,1,98.43940166,522
mixture,ftr,100000,6210,0.0621,1,53.53242472,813
mixture,probabilistic_ftr,100000,4,4e-05,1,68.31119703,0
anisotropic,pastcpa,100000,302,0.00302,1,97.85591164,598
anisotropic,ftr,100000,7304,0.07304,1,53.27530235,796
anisotropic,probabilistic_ftr,100000,12,0.00012,1,68.03471256,0
latency,pastcpa,100000,82,0.00082,1,98.43118527,544
latency,ftr,100000,5833,0.05833,1,54.1624474,846
latency,probabilistic_ftr,100000,9,9e-05,1,68.16451469,0
anisotropic_latency,pastcpa,100000,314,0.00314,1,97.84037592,611
anisotropic_latency,ftr,100000,7709,0.07709,1,53.22703361,811
anisotropic_latency,probabilistic_ftr,100000,15,0.00015,1,68.11132857,0
anisotropic_mixture,pastcpa,100000,320,0.0032,1,98.37757661,591
anisotropic_mixture,ftr,100000,7941,0.07941,1,53.02714752,813
anisotropic_mixture,probabilistic_ftr,100000,8,8e-05,1,68.34549125,0
