nohup: ignoring input
[1/1080] dpsi=2.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.1519 (1519/10000)
[2/1080] dpsi=2.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.068 (680/10000)
[3/1080] dpsi=2.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[4/1080] dpsi=2.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.8595 (8595/10000)
[5/1080] dpsi=2.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3937 (3937/10000)
[6/1080] dpsi=2.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0039 (39/10000)
[7/1080] dpsi=2.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0293 (293/10000)
[8/1080] dpsi=2.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0022 (22/10000)
[9/1080] dpsi=2.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[10/1080] dpsi=2.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.6625 (6625/10000)
[11/1080] dpsi=2.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.1464 (1464/10000)
[12/1080] dpsi=2.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0042 (42/10000)
[13/1080] dpsi=4.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0539 (539/10000)
[14/1080] dpsi=4.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.126 (1260/10000)
[15/1080] dpsi=4.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[16/1080] dpsi=4.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.6177 (6177/10000)
[17/1080] dpsi=4.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3993 (3993/10000)
[18/1080] dpsi=4.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.003 (30/10000)
[19/1080] dpsi=4.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0143 (143/10000)
[20/1080] dpsi=4.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0139 (139/10000)
[21/1080] dpsi=4.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[22/1080] dpsi=4.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.4546 (4546/10000)
[23/1080] dpsi=4.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.1582 (1582/10000)
[24/1080] dpsi=4.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0034 (34/10000)
[25/1080] dpsi=6.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0218 (218/10000)
[26/1080] dpsi=6.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1646 (1646/10000)
[27/1080] dpsi=6.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[28/1080] dpsi=6.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.3269 (3269/10000)
[29/1080] dpsi=6.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.4051 (4051/10000)
[30/1080] dpsi=6.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0024 (24/10000)
[31/1080] dpsi=6.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0072 (72/10000)
[32/1080] dpsi=6.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0321 (321/10000)
[33/1080] dpsi=6.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[34/1080] dpsi=6.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.2417 (2417/10000)
[35/1080] dpsi=6.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.1722 (1722/10000)
[36/1080] dpsi=6.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0026 (26/10000)
[37/1080] dpsi=8.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0092 (92/10000)
[38/1080] dpsi=8.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1771 (1771/10000)
[39/1080] dpsi=8.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[40/1080] dpsi=8.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.1761 (1761/10000)
[41/1080] dpsi=8.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.4114 (4114/10000)
[42/1080] dpsi=8.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.003 (30/10000)
[43/1080] dpsi=8.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.005 (50/10000)
[44/1080] dpsi=8.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0499 (499/10000)
[45/1080] dpsi=8.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[46/1080] dpsi=8.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.1405 (1405/10000)
[47/1080] dpsi=8.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.1847 (1847/10000)
[48/1080] dpsi=8.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0038 (38/10000)
[49/1080] dpsi=10.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0028 (28/10000)
[50/1080] dpsi=10.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1822 (1822/10000)
[51/1080] dpsi=10.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[52/1080] dpsi=10.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.1123 (1123/10000)
[53/1080] dpsi=10.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.4148 (4148/10000)
[54/1080] dpsi=10.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0029 (29/10000)
[55/1080] dpsi=10.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0027 (27/10000)
[56/1080] dpsi=10.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0706 (706/10000)
[57/1080] dpsi=10.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[58/1080] dpsi=10.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.09 (900/10000)
[59/1080] dpsi=10.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.1999 (1999/10000)
[60/1080] dpsi=10.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0038 (38/10000)
[61/1080] dpsi=12.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0012 (12/10000)
[62/1080] dpsi=12.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1823 (1823/10000)
[63/1080] dpsi=12.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[64/1080] dpsi=12.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0736 (736/10000)
[65/1080] dpsi=12.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.4185 (4185/10000)
[66/1080] dpsi=12.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0038 (38/10000)
[67/1080] dpsi=12.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0012 (12/10000)
[68/1080] dpsi=12.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0762 (762/10000)
[69/1080] dpsi=12.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[70/1080] dpsi=12.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0552 (552/10000)
[71/1080] dpsi=12.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2252 (2252/10000)
[72/1080] dpsi=12.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0034 (34/10000)
[73/1080] dpsi=14.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0005 (5/10000)
[74/1080] dpsi=14.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1788 (1788/10000)
[75/1080] dpsi=14.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[76/1080] dpsi=14.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0473 (473/10000)
[77/1080] dpsi=14.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.406 (4060/10000)
[78/1080] dpsi=14.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0032 (32/10000)
[79/1080] dpsi=14.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0007 (7/10000)
[80/1080] dpsi=14.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.08 (800/10000)
[81/1080] dpsi=14.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[82/1080] dpsi=14.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.041 (410/10000)
[83/1080] dpsi=14.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.233 (2330/10000)
[84/1080] dpsi=14.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0038 (38/10000)
[85/1080] dpsi=16.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0004 (4/10000)
[86/1080] dpsi=16.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1662 (1662/10000)
[87/1080] dpsi=16.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[88/1080] dpsi=16.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0329 (329/10000)
[89/1080] dpsi=16.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3979 (3979/10000)
[90/1080] dpsi=16.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0041 (41/10000)
[91/1080] dpsi=16.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0003 (3/10000)
[92/1080] dpsi=16.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0811 (811/10000)
[93/1080] dpsi=16.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[94/1080] dpsi=16.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0246 (246/10000)
[95/1080] dpsi=16.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2406 (2406/10000)
[96/1080] dpsi=16.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0034 (34/10000)
[97/1080] dpsi=18.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0002 (2/10000)
[98/1080] dpsi=18.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1559 (1559/10000)
[99/1080] dpsi=18.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[100/1080] dpsi=18.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0243 (243/10000)
[101/1080] dpsi=18.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3817 (3817/10000)
