aircraft,pos_ci95,vel_ci95,reception_prob,max_range_m,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
multirotor,3,1,0.5,500,300,1,0.003333333333,1,92.79803635,0
multirotor,3,1,0.5,1000,300,0,0,1,105.9914178,0
multirotor,3,1,0.5,3000,300,0,0,1,119.4814418,0
multirotor,3,1,0.8,500,300,2,0.006666666667,1,85.17003171,0
multirotor,3,1,0.8,1000,300,0,0,1,91.57940822,0
multirotor,3,1,0.8,3000,300,0,0,1,105.8695131,0
multirotor,3,1,1,500,300,0,0,1,82.03843402,0
multirotor,3,1,1,1000,300,0,0,1,89.083653,0
multirotor,3,1,1,3000,300,0,0,1,104.633522,0
multirotor,3,3,0.5,500,300,3,0.01,1,88.70167778,0
multirotor,3,3,0.5,1000,300,0,0,1,101.1794478,0
multirotor,3,3,0.5,3000,300,0,0,1,108.6408602,0
multirotor,3,3,0.8,500,300,0,0,1,86.08314237,0
multirotor,3,3,0.8,1000,300,0,0,1,99.44452004,0
multirotor,3,3,0.8,3000,300,0,0,1,108.8877642,0
multirotor,3,3,1,500,300,1,0.003333333333,1,83.76564972,0
multirotor,3,3,1,1000,300,0,0,1,98.08818733,0
multirotor,3,3,1,3000,300,0,0,1,104.6574741,0
multirotor,10,1,0.5,500,300,0,0,1,94.54538759,0
multirotor,10,1,0.5,1000,300,0,0,1,106.8697201,0
multirotor,10,1,0.5,3000,300,0,0,1,120.8879564,0
multirotor,10,1,0.8,500,300,0,0,1,86.21031892,0
multirotor,10,1,0.8,1000,300,0,0,1,92.8405046,0
multirotor,10,1,0.8,3000,300,0,0,1,107.0681873,0
multirotor,10,1,1,500,300,0,0,1,84.08749372,0
multirotor,10,1,1,1000,300,0,0,1,90.45236323,0
multirotor,10,1,1,3000,300,0,0,1,102.8126733,0
multirotor,10,3,0.5,500,300,1,0.003333333333,1,91.60400417,0
multirotor,10,3,0.5,1000,300,1,0.003333333333,1,105.168684,0
multirotor,10,3,0.5,3000,300,0,0,1,110.9681565,0
multirotor,10,3,0.8,500,300,2,0.006666666667,1,86.27164799,0
multirotor,10,3,0.8,1000,300,1,0.003333333333,1,97.33802667,0
multirotor,10,3,0.8,3000,300,1,0.003333333333,1,106.283995,0
multirotor,10,3,1,500,300,1,0.003333333333,1,84.58363877,0
multirotor,10,3,1,1000,300,0,0,1,99.14357318,0
multirotor,10,3,1,3000,300,0,0,1,113.2936811,0
multirotor,30,1,0.5,500,300,0,0,1,103.2906097,0
multirotor,30,1,0.5,1000,300,0,0,1,117.2799051,0
multirotor,30,1,0.5,3000,300,0,0,1,131.153584,0
multirotor,30,1,0.8,500,300,0,0,1,96.60858204,0
multirotor,30,1,0.8,1000,300,0,0,1,107.2874035,0
multirotor,30,1,0.8,3000,300,0,0,1,118.3162414,0
multirotor,30,1,1,500,300,0,0,1,95.61251799,0
multirotor,30,1,1,1000,300,0,0,1,104.2623201,0
multirotor,30,1,1,3000,300,0,0,1,113.677822,0
multirotor,30,3,0.5,500,300,6,0.02,1,98.66958151,0
multirotor,30,3,0.5,1000,300,2,0.006666666667,1,110.2576569,0
multirotor,30,3,0.5,3000,300,0,0,1,109.5844743,0
multirotor,30,3,0.8,500,300,2,0.006666666667,1,98.31105876,0
multirotor,30,3,0.8,1000,300,0,0,1,106.9284419,0
multirotor,30,3,0.8,3000,300,1,0.003333333333,1,115.9401385,0
multirotor,30,3,1,500,300,1,0.003333333333,1,95.63464292,0
multirotor,30,3,1,1000,300,1,0.003333333333,1,107.5683629,0
multirotor,30,3,1,3000,300,2,0.006666666667,1,117.8964942,0
multirotor,92.6,1,0.5,500,300,37,0.1233333333,1,110.9761243,0
multirotor,92.6,1,0.5,1000,300,4,0.01333333333,1,153.9212624,0
multirotor,92.6,1,0.5,3000,300,0,0,1,177.5333399,0
multirotor,92.6,1,0.8,500,300,37,0.1233333333,1,112.5201697,0
multirotor,92.6,1,0.8,1000,300,4,0.01333333333,1,154.8328487,0
multirotor,92.6,1,0.8,3000,300,1,0.003333333333,1,177.7030971,0
multirotor,92.6,1,1,500,300,31,0.1033333333,1,115.4894943,0
multirotor,92.6,1,1,1000,300,5,0.01666666667,1,158.7882157,0
multirotor,92.6,1,1,3000,300,0,0,1,175.0367552,0
multirotor,92.6,3,0.5,500,300,51,0.17,1,101.3262775,0
multirotor,92.6,3,0.5,1000,300,31,0.1033333333,1,133.3542363,0
multirotor,92.6,3,0.5,3000,300,17,0.05666666667,1,148.9233588,0
multirotor,92.6,3,0.8,500,300,46,0.1533333333,1,100.9521105,0
multirotor,92.6,3,0.8,1000,300,20,0.06666666667,1,138.8335293,0
multirotor,92.6,3,0.8,3000,300,13,0.04333333333,1,137.4908074,0
multirotor,92.6,3,1,500,300,47,0.1566666667,1,104.879122,0
multirotor,92.6,3,1,1000,300,13,0.04333333333,1,136.0815269,0
multirotor,92.6,3,1,3000,300,25,0.08333333333,1,143.638129,0
fixedwing,3,1,0.5,500,300,0,0,1,91.5867681,0
fixedwing,3,1,0.5,1000,300,0,0,1,104.4360389,0
fixedwing,3,1,0.5,3000,300,0,0,1,118.0939368,0
fixedwing,3,1,0.8,500,300,1,0.003333333333,1,84.77918252,0
fixedwing,3,1,0.8,1000,300,0,0,1,91.3787513,0
fixedwing,3,1,0.8,3000,300,0,0,1,102.9016982,0
fixedwing,3,1,1,500,300,6,0.02,1,88.88299102,0
fixedwing,3,1,1,1000,300,0,0,1,86.95378738,0
fixedwing,3,1,1,3000,300,0,0,1,100.0383409,0
fixedwing,3,3,0.5,500,300,0,0,1,89.95334251,0
fixedwing,3,3,0.5,1000,300,0,0,1,101.9164253,0
fixedwing,3,3,0.5,3000,300,0,0,1,110.6461627,0
fixedwing,3,3,0.8,500,300,0,0,1,86.81977254,0
fixedwing,3,3,0.8,1000,300,0,0,1,99.16311675,0
fixedwing,3,3,0.8,3000,300,0,0,1,104.4299981,0
fixedwing,3,3,1,500,300,1,0.003333333333,1,85.22282279,0
fixedwing,3,3,1,1000,300,0,0,1,96.29132693,0
fixedwing,3,3,1,3000,300,0,0,1,106.4240591,0
fixedwing,10,1,0.5,500,300,0,0,1,92.47209772,0
